Frame #,Box Est.,Actual, Accuracy
1,19,12,158.333
2,14,10,140
3,14,10,140
4,9,9,100
5,15,9,166.667
6,10,9,111.111
7,10,11,90.9091
8,11,11,100
9,12,9,133.333
10,12,9,133.333
11,10,9,111.111
12,10,10,100
13,12,9,133.333
14,17,12,141.667
15,17,12,141.667
16,18,11,163.636
17,13,10,130
18,13,12,108.333
19,11,10,110
20,17,11,154.545
21,14,17,82.3529
22,13,10,130
23,13,11,118.182
24,16,11,145.455
25,13,12,108.333
26,11,12,91.6667
27,17,13,130.769
28,14,13,107.692
29,14,13,107.692
30,14,14,100
31,13,13,100
32,14,13,107.692
33,11,13,84.6154
34,12,13,92.3077
35,13,13,100
36,16,13,123.077
37,13,14,92.8571
38,17,13,130.769
39,14,13,107.692
40,15,13,115.385
41,15,13,115.385
42,15,13,115.385
43,15,13,115.385
44,17,13,130.769
45,16,13,123.077
46,15,13,115.385
47,16,14,114.286
48,15,14,107.143
49,20,14,142.857
50,19,14,135.714
51,17,14,121.429
52,18,14,128.571
53,18,13,138.462
54,20,13,153.846
55,16,13,123.077
56,16,14,114.286
57,18,13,138.462
58,17,14,121.429
59,15,14,107.143
60,16,17,94.1176
61,15,16,93.75
62,18,16,112.5
63,14,17,82.3529
64,16,17,94.1176
65,17,17,100
66,19,17,111.765
67,17,17,100
68,19,18,105.556
69,18,17,105.882
70,22,18,122.222
71,24,18,133.333
72,22,17,129.412
73,21,17,123.529
74,18,17,105.882
75,23,18,127.778
76,23,18,127.778
77,23,18,127.778
78,19,18,105.556
79,25,17,147.059
80,22,17,129.412
81,26,16,162.5
82,26,16,162.5
83,25,16,156.25
84,17,16,106.25
85,18,16,112.5
86,19,16,118.75
87,22,16,137.5
88,23,16,143.75
89,17,16,106.25
90,20,16,125
91,22,16,137.5
92,17,16,106.25
93,17,16,106.25
94,20,16,125
95,22,16,137.5
96,23,16,143.75
97,22,16,137.5
98,20,17,117.647
99,20,16,125
100,17,16,106.25
101,17,16,106.25
102,18,16,112.5
103,17,16,106.25
104,20,19,105.263
105,24,17,141.176
106,21,17,123.529
107,20,18,111.111
108,22,24,91.6667
109,23,19,121.053
110,24,19,126.316
111,29,19,152.632
112,24,19,126.316
113,20,18,111.111
114,18,17,105.882
115,26,17,152.941
116,21,16,131.25
117,28,16,175
118,17,17,100
119,19,17,111.765
120,21,17,123.529
121,21,17,123.529
