Frame #,Sample Size,Selected Sample,Feature Size, Selected Features, # Clusters,Cluster Sum, Cluster Avg., Box Est.,Actual
1,15,15,3112,892,122,892,7,284,318,4
2,15,15,3083,962,140,962,6,273,321,4
3,16,16,3122,3073,4,3073,768,562,321,0
4,14,14,3096,2930,4,2930,732,558,320,0
5,13,13,3115,1031,152,1031,6,334,308,4
6,16,16,3151,971,133,971,7,295,321,4
7,17,17,3109,1021,140,1021,7,279,318,4
8,16,16,3128,1042,143,1042,7,282,319,4
9,13,13,3173,1012,152,1012,6,293,323,4
10,12,12,3212,1027,137,1027,7,310,307,4
11,9,9,3134,1011,148,1011,6,301,311,4
12,12,12,3176,978,147,978,6,279,312,4
13,12,12,3190,1009,146,1009,6,309,310,4
14,13,13,3125,978,145,978,6,283,311,4
15,10,10,3095,1032,139,1032,7,289,304,4
16,12,12,3083,1081,146,1081,7,302,317,4
17,11,11,3095,1034,141,1034,7,284,310,4
18,12,12,3094,1016,139,1016,7,271,308,4
19,15,15,3058,2927,5,2927,585,567,307,0
20,15,15,3006,1015,147,1015,6,282,301,4
21,14,14,3051,985,155,985,6,268,299,4
22,15,15,3026,1045,128,1045,8,281,304,4
23,14,14,3052,1054,152,1054,6,305,306,4
24,18,18,3046,2934,4,2934,733,570,306,0
25,11,11,3094,1051,137,1051,7,304,300,4
26,12,12,3019,2942,4,2942,735,542,303,0
27,12,12,3056,1000,144,1000,6,291,294,4
28,14,14,3000,1016,149,1016,6,290,300,4
29,12,12,3040,1030,139,1030,7,280,297,4
30,13,13,3034,2952,4,2952,738,540,298,0
31,13,13,3054,2999,4,2999,749,528,295,0
32,13,13,3054,3000,4,3000,750,527,302,0
33,13,13,3019,2936,4,2936,734,529,299,0
34,13,13,3081,1047,132,1047,7,282,298,4
35,13,13,3057,988,135,988,7,255,291,4
36,15,15,3077,1075,136,1075,7,271,296,4
37,15,15,3086,1085,136,1085,7,307,298,4
38,16,16,3048,1037,144,1037,7,270,296,4
39,17,17,3065,2915,4,2915,728,554,291,0
40,16,16,2983,2908,4,2908,727,551,287,0
41,14,14,3035,1072,140,1072,7,281,292,4
42,14,14,3034,1055,140,1055,7,272,294,4
43,16,16,3062,1093,147,1093,7,296,285,4
44,16,16,3009,989,135,989,7,284,288,4
45,13,13,3029,1126,138,1126,8,289,291,4
46,16,16,2977,1096,132,1096,8,313,289,4
47,15,15,2996,1042,153,1042,6,284,285,4
48,14,14,3026,1039,128,1039,8,300,289,4
49,13,13,2959,1030,127,1030,8,278,289,4
50,15,15,2997,1078,136,1078,7,273,282,4
51,19,19,2950,1004,131,1004,7,274,283,4
52,15,15,2995,1125,141,1125,7,289,286,4
53,16,16,3003,2834,4,2834,708,541,283,-1
54,14,14,2963,2774,6,2774,462,567,284,0
55,14,14,2959,2874,4,2874,718,544,286,0
56,14,14,2959,2874,4,2874,718,544,283,0
57,14,14,2906,1159,121,1159,9,316,278,4
58,12,12,2951,1116,133,1116,8,314,277,4
59,15,15,2991,1171,142,1171,8,303,279,4
60,14,14,2962,1089,123,1089,8,310,284,4
61,14,14,2969,1100,124,1100,8,288,282,4
62,13,13,2973,1138,146,1138,7,358,280,4
63,17,17,2964,2935,4,2935,733,544,280,0
64,16,16,2956,2924,4,2924,731,532,278,0
65,18,18,2971,2939,4,2939,734,561,277,0
66,18,18,2966,1112,149,1112,7,307,279,4
67,14,14,2909,1102,141,1102,7,282,280,4
68,16,16,2891,2817,4,2817,704,547,280,0
69,13,13,2866,1137,143,1137,7,274,281,4
70,13,13,2885,1064,138,1064,7,309,276,4
71,14,14,2826,1040,145,1040,7,265,277,4
72,14,14,2869,1074,134,1074,8,301,275,4
73,13,13,2824,1067,143,1067,7,310,272,4
74,14,14,2819,1067,129,1067,8,308,270,4
75,14,14,2734,1033,127,1033,8,321,270,4
76,17,17,2690,970,135,970,7,297,270,4
77,10,10,2656,976,114,976,8,289,267,4
78,14,14,2601,2587,4,2587,646,544,271,0
